number,atom,charge
1,C,-0.46536
2,C,-0.010817
3,C,0.014265
4,C,-0.067333
5,C,-0.066472
6,C,-0.017958
7,C,-0.066472
8,C,-0.067333
9,C,-0.017847
10,H,0.097434
11,C,-0.063162
12,C,0.014265
13,C,-0.017846
14,C,-0.017958
15,C,-0.062534
16,H,0.096142
17,C,-0.062535
18,C,-0.010816
19,H,0.096142
20,H,0.097434
21,C,-0.063163
22,H,0.093636
23,H,0.093636
24,C,-0.465361
25,H,0.093854
26,H,0.093854
27,Si,0.902314
28,C,-0.498137
29,C,-0.502107
30,C,-0.49814
31,Si,0.902315
32,C,-0.502106
33,C,-0.498136
34,C,-0.498142
35,H,0.109584
36,H,0.105333
37,H,0.109597
38,H,0.11111
39,H,0.108326
40,H,0.104419
41,H,0.11111
42,H,0.104419
43,H,0.108324
44,H,0.108319
45,H,0.104422
46,H,0.111114
47,H,0.109586
48,H,0.109595
49,H,0.105334
50,H,0.111114
51,H,0.104422
52,H,0.108317
